Id,week,region_name,TauxGrippe,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,requete_grippe,requete_grippe_aviaire_vaccin,requete_grippe_aviaire_vaccin_porcine_porc_H1N1_AH1N1_A_mexicaine_Mexique_pandemie
5523,201152,ALSACE,66,448112,479905,526481,250849,146978,1852325,2,2,2
5524,201152,AQUITAINE,24,732120,765143,896030,516065,344875,3254233,2,2,2
5525,201152,AUVERGNE,91,294709,305778,375485,223830,150880,1350682,3,3,2
5526,201152,BASSE-NORMANDIE,49,354514,336201,401766,228888,154315,1475684,2,2,2
5527,201152,BOURGOGNE,33,372023,369737,450664,269109,181201,1642734,2,2,1
5528,201152,BRETAGNE,50,780408,757104,866181,492894,321180,3217767,3,2,2
5529,201152,CENTRE,30,614629,592449,695479,392862,261416,2556835,3,2,2
5530,201152,CHAMPAGNE-ARDENNE,13,324898,328037,365168,196057,121893,1336053,2,2,2
5531,201152,CORSE,19,65399,75182,88943,53312,31650,314486,4,0,0
5532,201152,FRANCHE-COMTE,20,290000,286318,316818,173479,106825,1173440,4,3,3
5533,201152,HAUTE-NORMANDIE,53,469779,459077,499888,255855,154794,1839393,3,3,2
5534,201152,LANGUEDOC-ROUSSILLON,95,622980,619529,715033,435841,276663,2670046,2,2,2
5535,201152,LIMOUSIN,108,152694,159995,203959,127575,96849,741072,4,3,3
5536,201152,LORRAINE,71,555561,594060,658097,336827,206112,2350657,3,2,2
5537,201152,MIDI-PYRENEES,23,661129,703117,792502,441317,305355,2903420,2,2,1
5538,201152,NORD-PAS-DE-CALAIS,107,1085537,1074019,1062213,513245,307001,4042015,3,3,3
5539,201152,PAYS-DE-LA-LOIRE,15,918142,879018,954546,513503,335904,3601113,3,2,2
5540,201152,PICARDIE,61,499506,481778,526267,259503,151101,1918155,3,2,2
5541,201152,POITOU-CHARENTES,28,398192,395154,487005,294917,202505,1777773,3,3,2
5542,201152,PROVENCE-ALPES-COTE-D-AZUR,20,1135570,1156231,1323397,791794,509077,4916069,3,3,2
5543,201152,ILE-DE-FRANCE,73,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5544,201152,RHONE-ALPES,66,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5545,201151,ALSACE,79,448112,479905,526481,250849,146978,1852325,2,2,2
5546,201151,AQUITAINE,50,732120,765143,896030,516065,344875,3254233,2,2,2
5547,201151,AUVERGNE,4,294709,305778,375485,223830,150880,1350682,3,3,2
5548,201151,BASSE-NORMANDIE,13,354514,336201,401766,228888,154315,1475684,2,2,2
5549,201151,BOURGOGNE,34,372023,369737,450664,269109,181201,1642734,2,2,1
5550,201151,BRETAGNE,70,780408,757104,866181,492894,321180,3217767,3,2,2
5551,201151,CENTRE,36,614629,592449,695479,392862,261416,2556835,3,2,2
5552,201151,CHAMPAGNE-ARDENNE,13,324898,328037,365168,196057,121893,1336053,2,2,2
5553,201151,CORSE,21,65399,75182,88943,53312,31650,314486,4,0,0
5554,201151,FRANCHE-COMTE,0,290000,286318,316818,173479,106825,1173440,4,3,3
5555,201151,HAUTE-NORMANDIE,22,469779,459077,499888,255855,154794,1839393,3,3,2
5556,201151,LANGUEDOC-ROUSSILLON,74,622980,619529,715033,435841,276663,2670046,2,2,2
5557,201151,LIMOUSIN,77,152694,159995,203959,127575,96849,741072,4,3,3
5558,201151,LORRAINE,32,555561,594060,658097,336827,206112,2350657,3,2,2
5559,201151,MIDI-PYRENEES,38,661129,703117,792502,441317,305355,2903420,2,2,1
5560,201151,NORD-PAS-DE-CALAIS,0,1085537,1074019,1062213,513245,307001,4042015,3,3,3
5561,201151,PAYS-DE-LA-LOIRE,30,918142,879018,954546,513503,335904,3601113,3,2,2
5562,201151,PICARDIE,32,499506,481778,526267,259503,151101,1918155,3,2,2
5563,201151,POITOU-CHARENTES,11,398192,395154,487005,294917,202505,1777773,3,3,2
5564,201151,PROVENCE-ALPES-COTE-D-AZUR,42,1135570,1156231,1323397,791794,509077,4916069,3,3,2
5565,201151,ILE-DE-FRANCE,26,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5566,201151,RHONE-ALPES,69,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5567,201150,ALSACE,21,448112,479905,526481,250849,146978,1852325,2,2,2
5568,201150,AQUITAINE,45,732120,765143,896030,516065,344875,3254233,2,2,2
5569,201150,AUVERGNE,13,294709,305778,375485,223830,150880,1350682,3,3,2
5570,201150,BASSE-NORMANDIE,11,354514,336201,401766,228888,154315,1475684,2,2,2
5571,201150,BOURGOGNE,10,372023,369737,450664,269109,181201,1642734,2,2,1
5572,201150,BRETAGNE,75,780408,757104,866181,492894,321180,3217767,3,2,2
5573,201150,CENTRE,71,614629,592449,695479,392862,261416,2556835,3,2,2
5574,201150,CHAMPAGNE-ARDENNE,65,324898,328037,365168,196057,121893,1336053,2,2,2
5575,201150,CORSE,21,65399,75182,88943,53312,31650,314486,4,0,0
5576,201150,FRANCHE-COMTE,27,290000,286318,316818,173479,106825,1173440,4,3,3
5577,201150,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,3,3,2
5578,201150,LANGUEDOC-ROUSSILLON,101,622980,619529,715033,435841,276663,2670046,2,2,2
5579,201150,LIMOUSIN,93,152694,159995,203959,127575,96849,741072,4,3,3
5580,201150,LORRAINE,12,555561,594060,658097,336827,206112,2350657,3,2,2
5581,201150,MIDI-PYRENEES,32,661129,703117,792502,441317,305355,2903420,2,2,1
5582,201150,NORD-PAS-DE-CALAIS,118,1085537,1074019,1062213,513245,307001,4042015,3,3,3
5583,201150,PAYS-DE-LA-LOIRE,3,918142,879018,954546,513503,335904,3601113,3,2,2
5584,201150,PICARDIE,0,499506,481778,526267,259503,151101,1918155,3,2,2
5585,201150,POITOU-CHARENTES,0,398192,395154,487005,294917,202505,1777773,3,3,2
5586,201150,PROVENCE-ALPES-COTE-D-AZUR,27,1135570,1156231,1323397,791794,509077,4916069,3,3,2
5587,201150,ILE-DE-FRANCE,48,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5588,201150,RHONE-ALPES,85,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5589,201149,ALSACE,26,448112,479905,526481,250849,146978,1852325,2,2,2
5590,201149,AQUITAINE,42,732120,765143,896030,516065,344875,3254233,2,2,2
5591,201149,AUVERGNE,56,294709,305778,375485,223830,150880,1350682,3,3,2
5592,201149,BASSE-NORMANDIE,7,354514,336201,401766,228888,154315,1475684,2,2,2
5593,201149,BOURGOGNE,28,372023,369737,450664,269109,181201,1642734,2,2,1
5594,201149,BRETAGNE,51,780408,757104,866181,492894,321180,3217767,3,2,2
5595,201149,CENTRE,28,614629,592449,695479,392862,261416,2556835,3,2,2
5596,201149,CHAMPAGNE-ARDENNE,58,324898,328037,365168,196057,121893,1336053,2,2,2
5597,201149,CORSE,19,65399,75182,88943,53312,31650,314486,4,0,0
5598,201149,FRANCHE-COMTE,50,290000,286318,316818,173479,106825,1173440,4,3,3
5599,201149,HAUTE-NORMANDIE,9,469779,459077,499888,255855,154794,1839393,3,3,2
5600,201149,LANGUEDOC-ROUSSILLON,35,622980,619529,715033,435841,276663,2670046,2,2,2
5601,201149,LIMOUSIN,101,152694,159995,203959,127575,96849,741072,4,3,3
5602,201149,LORRAINE,15,555561,594060,658097,336827,206112,2350657,3,2,2
5603,201149,MIDI-PYRENEES,11,661129,703117,792502,441317,305355,2903420,2,2,1
5604,201149,NORD-PAS-DE-CALAIS,83,1085537,1074019,1062213,513245,307001,4042015,3,3,3
5605,201149,PAYS-DE-LA-LOIRE,9,918142,879018,954546,513503,335904,3601113,3,2,2
5606,201149,PICARDIE,23,499506,481778,526267,259503,151101,1918155,3,2,2
5607,201149,POITOU-CHARENTES,0,398192,395154,487005,294917,202505,1777773,3,3,2
5608,201149,PROVENCE-ALPES-COTE-D-AZUR,26,1135570,1156231,1323397,791794,509077,4916069,3,3,2
5609,201149,ILE-DE-FRANCE,55,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5610,201149,RHONE-ALPES,94,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5611,201148,ALSACE,22,448112,479905,526481,250849,146978,1852325,2,2,2
5612,201148,AQUITAINE,75,732120,765143,896030,516065,344875,3254233,3,2,2
5613,201148,AUVERGNE,59,294709,305778,375485,223830,150880,1350682,2,2,1
5614,201148,BASSE-NORMANDIE,3,354514,336201,401766,228888,154315,1475684,4,3,2
5615,201148,BOURGOGNE,21,372023,369737,450664,269109,181201,1642734,3,2,2
5616,201148,BRETAGNE,167,780408,757104,866181,492894,321180,3217767,2,2,2
5617,201148,CENTRE,10,614629,592449,695479,392862,261416,2556835,3,2,2
5618,201148,CHAMPAGNE-ARDENNE,24,324898,328037,365168,196057,121893,1336053,3,2,2
5619,201148,CORSE,14,65399,75182,88943,53312,31650,314486,3,0,0
5620,201148,FRANCHE-COMTE,114,290000,286318,316818,173479,106825,1173440,3,2,2
5621,201148,HAUTE-NORMANDIE,22,469779,459077,499888,255855,154794,1839393,4,3,2
5622,201148,LANGUEDOC-ROUSSILLON,52,622980,619529,715033,435841,276663,2670046,2,2,2
5623,201148,LIMOUSIN,81,152694,159995,203959,127575,96849,741072,3,2,2
5624,201148,LORRAINE,46,555561,594060,658097,336827,206112,2350657,3,2,2
5625,201148,MIDI-PYRENEES,6,661129,703117,792502,441317,305355,2903420,2,2,2
5626,201148,NORD-PAS-DE-CALAIS,126,1085537,1074019,1062213,513245,307001,4042015,3,2,2
5627,201148,PAYS-DE-LA-LOIRE,0,918142,879018,954546,513503,335904,3601113,2,2,2
5628,201148,PICARDIE,10,499506,481778,526267,259503,151101,1918155,4,3,2
5629,201148,POITOU-CHARENTES,78,398192,395154,487005,294917,202505,1777773,2,1,1
5630,201148,PROVENCE-ALPES-COTE-D-AZUR,64,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5631,201148,ILE-DE-FRANCE,29,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5632,201148,RHONE-ALPES,43,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5633,201147,ALSACE,14,448112,479905,526481,250849,146978,1852325,2,2,2
5634,201147,AQUITAINE,17,732120,765143,896030,516065,344875,3254233,3,2,2
5635,201147,AUVERGNE,21,294709,305778,375485,223830,150880,1350682,2,2,1
5636,201147,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,4,3,2
5637,201147,BOURGOGNE,50,372023,369737,450664,269109,181201,1642734,3,2,2
5638,201147,BRETAGNE,26,780408,757104,866181,492894,321180,3217767,2,2,2
5639,201147,CENTRE,33,614629,592449,695479,392862,261416,2556835,3,2,2
5640,201147,CHAMPAGNE-ARDENNE,50,324898,328037,365168,196057,121893,1336053,3,2,2
5641,201147,CORSE,14,65399,75182,88943,53312,31650,314486,3,0,0
5642,201147,FRANCHE-COMTE,81,290000,286318,316818,173479,106825,1173440,3,2,2
5643,201147,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,4,3,2
5644,201147,LANGUEDOC-ROUSSILLON,115,622980,619529,715033,435841,276663,2670046,2,2,2
5645,201147,LIMOUSIN,23,152694,159995,203959,127575,96849,741072,3,2,2
5646,201147,LORRAINE,6,555561,594060,658097,336827,206112,2350657,3,2,2
5647,201147,MIDI-PYRENEES,5,661129,703117,792502,441317,305355,2903420,2,2,2
5648,201147,NORD-PAS-DE-CALAIS,68,1085537,1074019,1062213,513245,307001,4042015,3,2,2
5649,201147,PAYS-DE-LA-LOIRE,2,918142,879018,954546,513503,335904,3601113,2,2,2
5650,201147,PICARDIE,13,499506,481778,526267,259503,151101,1918155,4,3,2
5651,201147,POITOU-CHARENTES,50,398192,395154,487005,294917,202505,1777773,2,1,1
