Id,week,region_name,TauxGrippe,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,requete_grippe,requete_grippe_aviaire_vaccin,requete_grippe_aviaire_vaccin_porcine_porc_H1N1_AH1N1_A_mexicaine_Mexique_pandemie,week_date,year,month,month_date
5523,201152,ALSACE,66,448112,479905,526481,250849,146978,1852325,2,2,2,2011-12-26,2011,Décembre,2011-12-01
5524,201152,AQUITAINE,24,732120,765143,896030,516065,344875,3254233,2,2,2,2011-12-26,2011,Décembre,2011-12-01
5525,201152,AUVERGNE,91,294709,305778,375485,223830,150880,1350682,3,3,2,2011-12-26,2011,Décembre,2011-12-01
5526,201152,BASSE-NORMANDIE,49,354514,336201,401766,228888,154315,1475684,2,2,2,2011-12-26,2011,Décembre,2011-12-01
5527,201152,BOURGOGNE,33,372023,369737,450664,269109,181201,1642734,2,2,1,2011-12-26,2011,Décembre,2011-12-01
5528,201152,BRETAGNE,50,780408,757104,866181,492894,321180,3217767,3,2,2,2011-12-26,2011,Décembre,2011-12-01
5529,201152,CENTRE,30,614629,592449,695479,392862,261416,2556835,3,2,2,2011-12-26,2011,Décembre,2011-12-01
5530,201152,CHAMPAGNE-ARDENNE,13,324898,328037,365168,196057,121893,1336053,2,2,2,2011-12-26,2011,Décembre,2011-12-01
5531,201152,CORSE,19,65399,75182,88943,53312,31650,314486,4,0,0,2011-12-26,2011,Décembre,2011-12-01
5532,201152,FRANCHE-COMTE,20,290000,286318,316818,173479,106825,1173440,4,3,3,2011-12-26,2011,Décembre,2011-12-01
5533,201152,HAUTE-NORMANDIE,53,469779,459077,499888,255855,154794,1839393,3,3,2,2011-12-26,2011,Décembre,2011-12-01
5534,201152,LANGUEDOC-ROUSSILLON,95,622980,619529,715033,435841,276663,2670046,2,2,2,2011-12-26,2011,Décembre,2011-12-01
5535,201152,LIMOUSIN,108,152694,159995,203959,127575,96849,741072,4,3,3,2011-12-26,2011,Décembre,2011-12-01
5536,201152,LORRAINE,71,555561,594060,658097,336827,206112,2350657,3,2,2,2011-12-26,2011,Décembre,2011-12-01
5537,201152,MIDI-PYRENEES,23,661129,703117,792502,441317,305355,2903420,2,2,1,2011-12-26,2011,Décembre,2011-12-01
