Id,week,region_code,region_name,TauxGrippe,year,week_num,date,month,t,pmer,ff,rr24,u
5523,201152,42,ALSACE,66,2011,52,2011-12-26,12,278.6133064516129,101860.54435483871,3.887701612903226,179.4,83.1875
5524,201152,72,AQUITAINE,24,2011,52,2011-12-26,12,282.00670731707316,102447.68292682926,3.1971544715447155,305.3,87.70121951219512
5525,201152,83,AUVERGNE,91,2011,52,2011-12-26,12,278.90645161290325,102179.79838709677,3.4139112903225803,106.7,80.45362903225806
5526,201152,25,BASSE-NORMANDIE,49,2011,52,2011-12-26,12,281.32720930232557,101840.12403100776,6.089130434782609,336.3,85.22170542635659
5527,201152,26,BOURGOGNE,33,2011,52,2011-12-26,12,278.61285714285714,102035.42857142857,4.084897959183674,107.2,88.21632653061225
5528,201152,53,BRETAGNE,50,2011,52,2011-12-26,12,282.58863404689095,101888.73297002725,6.4247464503042595,315.3,83.03669724770643
5529,201152,24,CENTRE,30,2011,52,2011-12-26,12,280.76693548387095,102018.77016129032,4.320564516129032,274.1,88.70967741935483
5530,201152,21,CHAMPAGNE-ARDENNE,13,2011,52,2011-12-26,12,279.6701612903226,101834.4758064516,5.737903225806452,105.2,85.8991935483871
5531,201152,94,CORSE,19,2011,52,2011-12-26,12,284.2068548387097,101883.24596774194,3.488508064516129,106.5,67.40120967741936
5532,201152,43,FRANCHE-COMTE,20,2011,52,2011-12-26,12,285.485666218035,101715.24955950122,3.6352226720647773,75.19999999999999,77.3417297938615
5533,201152,23,HAUTE-NORMANDIE,53,2011,52,2011-12-26,12,279.65241935483874,101620.80645161291,5.145161290322581,202.9,91.89112903225806
5534,201152,91,LANGUEDOC-ROUSSILLON,95,2011,52,2011-12-26,12,283.2019269776876,102260.91277890466,4.776064908722109,7.3999999999999995,68.4604462474645
5535,201152,74,LIMOUSIN,108,2011,52,2011-12-26,12,279.75607287449395,102251.13360323886,3.7263157894736842,181.9,91.52631578947368
5536,201152,41,LORRAINE,71,2011,52,2011-12-26,12,277.9813008130081,101789.0243902439,5.54390243902439,167.0,90.17479674796748
5537,201152,73,MIDI-PYRENEES,23,2011,52,2011-12-26,12,280.12775061124694,102483.83863080684,3.5650366748166262,371.2,83.67400162999185
5538,201152,31,NORD-PAS-DE-CALAIS,107,2011,52,2011-12-26,12,279.5770161290323,101348.34677419355,5.70725806451613,157.1,85.83064516129032
5539,201152,52,PAYS-DE-LA-LOIRE,15,2011,52,2011-12-26,12,281.99637096774194,102043.95161290323,4.013008130081301,157.6,88.50806451612904
5540,201152,22,PICARDIE,61,2011,52,2011-12-26,12,280.3961538461539,101440.4858299595,5.973279352226721,178.4,84.37246963562752
5541,201152,54,POITOU-CHARENTES,28,2011,52,2011-12-26,12,282.8397177419355,102190.1008064516,6.307862903225806,263.0,86.4899193548387
5542,201152,93,PROVENCE-ALPES-COTE-D-AZUR,20,2011,52,2011-12-26,12,281.3872351160444,101938.68102288022,5.027144298688193,134.4,66.06659939455096
5543,201152,11,ILE-DE-FRANCE,73,2011,52,2011-12-26,12,280.0963709677419,101740.80645161291,4.563709677419355,102.8,88.47177419354838
5544,201152,82,RHONE-ALPES,66,2011,52,2011-12-26,12,279.6671717171717,102226.46464646465,3.1567676767676764,131.2,81.76161616161616
5545,201151,42,ALSACE,79,2011,51,2011-12-19,12,278.6133064516129,101860.54435483871,3.887701612903226,179.4,83.1875
5546,201151,72,AQUITAINE,50,2011,51,2011-12-19,12,282.00670731707316,102447.68292682926,3.1971544715447155,305.3,87.70121951219512
5547,201151,83,AUVERGNE,4,2011,51,2011-12-19,12,278.90645161290325,102179.79838709677,3.4139112903225803,106.7,80.45362903225806
5548,201151,25,BASSE-NORMANDIE,13,2011,51,2011-12-19,12,281.32720930232557,101840.12403100776,6.089130434782609,336.3,85.22170542635659
5549,201151,26,BOURGOGNE,34,2011,51,2011-12-19,12,278.61285714285714,102035.42857142857,4.084897959183674,107.2,88.21632653061225
5550,201151,53,BRETAGNE,70,2011,51,2011-12-19,12,282.58863404689095,101888.73297002725,6.4247464503042595,315.3,83.03669724770643
5551,201151,24,CENTRE,36,2011,51,2011-12-19,12,280.76693548387095,102018.77016129032,4.320564516129032,274.1,88.70967741935483
5552,201151,21,CHAMPAGNE-ARDENNE,13,2011,51,2011-12-19,12,279.6701612903226,101834.4758064516,5.737903225806452,105.2,85.8991935483871
5553,201151,94,CORSE,21,2011,51,2011-12-19,12,284.2068548387097,101883.24596774194,3.488508064516129,106.5,67.40120967741936
5554,201151,43,FRANCHE-COMTE,0,2011,51,2011-12-19,12,285.485666218035,101715.24955950122,3.6352226720647773,75.19999999999999,77.3417297938615
5555,201151,23,HAUTE-NORMANDIE,22,2011,51,2011-12-19,12,279.65241935483874,101620.80645161291,5.145161290322581,202.9,91.89112903225806
5556,201151,91,LANGUEDOC-ROUSSILLON,74,2011,51,2011-12-19,12,283.2019269776876,102260.91277890466,4.776064908722109,7.3999999999999995,68.4604462474645
5557,201151,74,LIMOUSIN,77,2011,51,2011-12-19,12,279.75607287449395,102251.13360323886,3.7263157894736842,181.9,91.52631578947368
5558,201151,41,LORRAINE,32,2011,51,2011-12-19,12,277.9813008130081,101789.0243902439,5.54390243902439,167.0,90.17479674796748
5559,201151,73,MIDI-PYRENEES,38,2011,51,2011-12-19,12,280.12775061124694,102483.83863080684,3.5650366748166262,371.2,83.67400162999185
5560,201151,31,NORD-PAS-DE-CALAIS,0,2011,51,2011-12-19,12,279.5770161290323,101348.34677419355,5.70725806451613,157.1,85.83064516129032
5561,201151,52,PAYS-DE-LA-LOIRE,30,2011,51,2011-12-19,12,281.99637096774194,102043.95161290323,4.013008130081301,157.6,88.50806451612904
5562,201151,22,PICARDIE,32,2011,51,2011-12-19,12,280.3961538461539,101440.4858299595,5.973279352226721,178.4,84.37246963562752
5563,201151,54,POITOU-CHARENTES,11,2011,51,2011-12-19,12,282.8397177419355,102190.1008064516,6.307862903225806,263.0,86.4899193548387
5564,201151,93,PROVENCE-ALPES-COTE-D-AZUR,42,2011,51,2011-12-19,12,281.3872351160444,101938.68102288022,5.027144298688193,134.4,66.06659939455096
5565,201151,11,ILE-DE-FRANCE,26,2011,51,2011-12-19,12,280.0963709677419,101740.80645161291,4.563709677419355,102.8,88.47177419354838
5566,201151,82,RHONE-ALPES,69,2011,51,2011-12-19,12,279.6671717171717,102226.46464646465,3.1567676767676764,131.2,81.76161616161616
5567,201150,42,ALSACE,21,2011,50,2011-12-12,12,278.6133064516129,101860.54435483871,3.887701612903226,179.4,83.1875
5568,201150,72,AQUITAINE,45,2011,50,2011-12-12,12,282.00670731707316,102447.68292682926,3.1971544715447155,305.3,87.70121951219512
5569,201150,83,AUVERGNE,13,2011,50,2011-12-12,12,278.90645161290325,102179.79838709677,3.4139112903225803,106.7,80.45362903225806
5570,201150,25,BASSE-NORMANDIE,11,2011,50,2011-12-12,12,281.32720930232557,101840.12403100776,6.089130434782609,336.3,85.22170542635659
5571,201150,26,BOURGOGNE,10,2011,50,2011-12-12,12,278.61285714285714,102035.42857142857,4.084897959183674,107.2,88.21632653061225
5572,201150,53,BRETAGNE,75,2011,50,2011-12-12,12,282.58863404689095,101888.73297002725,6.4247464503042595,315.3,83.03669724770643
5573,201150,24,CENTRE,71,2011,50,2011-12-12,12,280.76693548387095,102018.77016129032,4.320564516129032,274.1,88.70967741935483
5574,201150,21,CHAMPAGNE-ARDENNE,65,2011,50,2011-12-12,12,279.6701612903226,101834.4758064516,5.737903225806452,105.2,85.8991935483871
5575,201150,94,CORSE,21,2011,50,2011-12-12,12,284.2068548387097,101883.24596774194,3.488508064516129,106.5,67.40120967741936
5576,201150,43,FRANCHE-COMTE,27,2011,50,2011-12-12,12,285.485666218035,101715.24955950122,3.6352226720647773,75.19999999999999,77.3417297938615
5577,201150,23,HAUTE-NORMANDIE,0,2011,50,2011-12-12,12,279.65241935483874,101620.80645161291,5.145161290322581,202.9,91.89112903225806
5578,201150,91,LANGUEDOC-ROUSSILLON,101,2011,50,2011-12-12,12,283.2019269776876,102260.91277890466,4.776064908722109,7.3999999999999995,68.4604462474645
5579,201150,74,LIMOUSIN,93,2011,50,2011-12-12,12,279.75607287449395,102251.13360323886,3.7263157894736842,181.9,91.52631578947368
5580,201150,41,LORRAINE,12,2011,50,2011-12-12,12,277.9813008130081,101789.0243902439,5.54390243902439,167.0,90.17479674796748
5581,201150,73,MIDI-PYRENEES,32,2011,50,2011-12-12,12,280.12775061124694,102483.83863080684,3.5650366748166262,371.2,83.67400162999185
5582,201150,31,NORD-PAS-DE-CALAIS,118,2011,50,2011-12-12,12,279.5770161290323,101348.34677419355,5.70725806451613,157.1,85.83064516129032
5583,201150,52,PAYS-DE-LA-LOIRE,3,2011,50,2011-12-12,12,281.99637096774194,102043.95161290323,4.013008130081301,157.6,88.50806451612904
5584,201150,22,PICARDIE,0,2011,50,2011-12-12,12,280.3961538461539,101440.4858299595,5.973279352226721,178.4,84.37246963562752
5585,201150,54,POITOU-CHARENTES,0,2011,50,2011-12-12,12,282.8397177419355,102190.1008064516,6.307862903225806,263.0,86.4899193548387
5586,201150,93,PROVENCE-ALPES-COTE-D-AZUR,27,2011,50,2011-12-12,12,281.3872351160444,101938.68102288022,5.027144298688193,134.4,66.06659939455096
5587,201150,11,ILE-DE-FRANCE,48,2011,50,2011-12-12,12,280.0963709677419,101740.80645161291,4.563709677419355,102.8,88.47177419354838
5588,201150,82,RHONE-ALPES,85,2011,50,2011-12-12,12,279.6671717171717,102226.46464646465,3.1567676767676764,131.2,81.76161616161616
5589,201149,42,ALSACE,26,2011,49,2011-12-05,12,278.6133064516129,101860.54435483871,3.887701612903226,179.4,83.1875
5590,201149,72,AQUITAINE,42,2011,49,2011-12-05,12,282.00670731707316,102447.68292682926,3.1971544715447155,305.3,87.70121951219512
5591,201149,83,AUVERGNE,56,2011,49,2011-12-05,12,278.90645161290325,102179.79838709677,3.4139112903225803,106.7,80.45362903225806
5592,201149,25,BASSE-NORMANDIE,7,2011,49,2011-12-05,12,281.32720930232557,101840.12403100776,6.089130434782609,336.3,85.22170542635659
