iter	RMSE
0	189.7483763
1	187.1135396
2	185.1998246
3	182.5640765
4	180.9209218
5	178.9976759
6	177.4976109
7	175.9551721
8	174.2114451
9	172.2542784
10	170.7452475
11	168.9639731
12	167.3262064
13	165.5117463
14	163.2971069
15	162.3517847
16	160.1599085
17	158.9952595
18	157.9446838
19	157.1649806
20	156.1268115
21	155.4309356
22	154.1877696
23	152.7686471
24	151.8586289
25	150.4744516
26	149.8114626
27	148.3637975
28	147.4398763
29	146.3148581
30	145.0609893
31	144.4485712
32	143.8506696
33	142.7249696
34	141.4645493
35	140.6848074
36	139.8848949
37	138.7309201
38	138.2492012
39	137.5562185
40	136.7723782
41	136.2331679
42	135.7545792
43	135.420807
44	134.5730591
45	133.4493876
46	132.6783612
47	132.1432925
48	131.7007855
49	131.423183
50	130.9215984
51	130.6540745
52	129.8518938
53	128.8237885
54	128.4406024
55	127.4127452
56	126.8896942
57	126.3945874
58	125.8882724
59	125.1571369
60	124.3595235
61	123.8505356
62	123.054917
63	122.6949019
64	121.9997874
65	121.3038407
66	120.9013627
67	120.2717261
68	119.9271749
69	119.2137606
70	118.7674786
71	117.8146604
72	117.3552833
73	117.2115275
74	116.9165924
75	116.2657216
76	115.4785912
77	115.0683717
78	114.5685652
79	114.1523892
80	113.676294
81	113.3407029
82	112.8755465
83	112.3773027
84	111.6162597
85	110.829326
86	110.6599337
87	110.3701329
88	109.8581785
89	108.9304093
90	108.6403274
91	107.9860728
92	107.723224
93	107.3622927
94	106.7400973
95	106.4280356
96	106.0538931
97	105.7312928
98	105.0054615
99	104.625386
100	104.341454
101	103.8693784
102	103.4873302
103	102.9162589
104	102.3603121
105	101.9003562
106	101.4744536
107	100.9051646
108	100.5563971
109	100.2371944
110	99.9129282
111	99.58046015
112	98.9526928
113	98.62861655
114	98.18904544
115	98.07272231
116	97.6917019
117	97.34425291
118	96.92694232
119	96.50209822
120	96.18755143
