iter	Passed	Remaining
0	3	382
1	5	316
2	8	331
3	11	341
4	14	338
5	17	343
6	21	342
7	24	339
8	27	341
9	30	339
10	33	333
11	36	332
12	39	330
13	42	328
14	45	321
15	48	315
16	50	309
17	53	304
18	56	301
19	59	300
20	62	297
21	65	292
22	67	287
23	69	281
24	72	278
25	75	275
26	78	272
27	81	270
28	84	267
29	86	262
30	89	259
31	91	254
32	93	250
33	96	247
34	99	243
35	101	240
36	104	237
37	107	233
38	109	230
39	112	227
40	114	224
41	117	221
42	120	218
43	122	214
44	125	211
45	127	207
46	129	203
47	131	200
48	133	196
49	135	192
50	138	189
51	140	186
52	142	183
53	145	180
54	147	177
55	150	174
56	153	172
57	155	169
58	157	165
59	160	163
60	163	160
61	165	157
62	167	154
63	169	151
64	171	147
65	173	144
66	175	141
67	176	137
68	178	134
69	180	131
70	181	127
71	182	124
72	184	121
73	185	118
74	187	114
75	188	111
76	190	108
77	191	105
78	192	102
79	194	99
80	195	96
81	197	93
82	198	90
83	199	88
84	201	85
85	202	82
86	204	79
87	205	77
88	206	74
89	208	71
90	209	69
91	210	66
92	212	63
93	213	61
94	214	58
95	216	56
96	217	53
97	218	51
98	220	48
99	221	46
100	223	44
101	224	41
102	225	39
103	227	37
104	228	34
105	230	32
106	231	30
107	232	28
108	234	25
109	235	23
110	237	21
111	238	19
112	239	16
113	241	14
114	242	12
115	243	10
116	245	8
117	246	6
118	248	4
119	249	2
120	250	0
