region,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,year,region_normalized
Alsace,453398,508491,492030,222857,114369,1791145,2004,ALSACE
Aquitaine,697287,773656,849884,441891,291869,3054587,2004,AQUITAINE
Auvergne,292839,329195,374449,199831,130790,1327104,2004,AUVERGNE
Basse-Normandie,365087,362106,392180,201450,126606,1447429,2004,BASSENORMANDIE
Bourgogne,381173,395993,451439,236198,157653,1622456,2004,BOURGOGNE
Bretagne,748027,779238,814623,428368,266821,3037077,2004,BRETAGNE
Centre,611099,630863,683741,343506,225070,2494279,2004,CENTRE
Champagne-Ardenne,340135,354972,368587,170441,105462,1339597,2004,CHAMPAGNEARDENNE
Corse,61737,71611,79994,44827,25803,283972,2004,CORSE
Franche-Comté,289374,302189,311055,149342,88518,1140478,2004,FRANCHECOMTE
Haute-Normandie,481949,478430,493453,217679,130280,1801791,2004,HAUTENORMANDIE
Languedoc-Roussillon,584855,614776,663841,366714,229783,2459969,2004,LANGUEDOCROUSSILLON
Limousin,147016,170872,202220,117276,86522,723906,2004,LIMOUSIN
Lorraine,583501,625948,644420,305339,168928,2328136,2004,LORRAINE
Midi-Pyrénées,618440,702638,742078,388491,255936,2707583,2004,MIDIPYRENEES
Nord - Pas-de-Calais,1127000,1111444,1052694,448892,270518,4010548,2004,NORDPASDECALAIS
Pays de la Loire,872213,892093,901713,438566,275199,3379784,2004,PAYSDELALOIRE
Picardie,510580,504779,518419,219485,130146,1883409,2004,PICARDIE
Poitou-Charentes,387823,414368,467948,256875,171006,1698020,2004,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1127581,1187177,1279079,691333,433962,4719132,2004,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1530256,1621106,1586950,738439,427978,5904729,2004,RHONEALPES
Île-de-France,2970969,3493848,3063842,1166374,655257,11350290,2004,ILEDEFRANCE
Alsace,453881,504652,503941,222308,118620,1803402,2005,ALSACE
Aquitaine,704026,770501,868072,444563,301034,3088196,2005,AQUITAINE
Auvergne,293441,325190,379245,199585,134318,1331779,2005,AUVERGNE
Basse-Normandie,363891,357526,399126,200681,131201,1452425,2005,BASSENORMANDIE
Bourgogne,379809,390736,457639,235500,162506,1626190,2005,BOURGOGNE
Bretagne,753913,775701,833236,427947,275788,3066585,2005,BRETAGNE
Centre,612106,625734,693564,344110,231732,2507246,2005,CENTRE
Champagne-Ardenne,337282,350494,373050,169764,108810,1339400,2005,CHAMPAGNEARDENNE
Corse,62076,71817,82475,45733,26991,289092,2005,CORSE
Franche-Comté,289339,299855,315231,150158,91161,1145744,2005,FRANCHECOMTE
Haute-Normandie,479550,474289,499584,218789,134465,1806677,2005,HAUTENORMANDIE
Languedoc-Roussillon,593489,615440,679636,372007,237146,2497718,2005,LANGUEDOCROUSSILLON
Limousin,147635,169269,205535,116309,88739,727487,2005,LIMOUSIN
Lorraine,580041,619353,655579,302397,175098,2332468,2005,LORRAINE
Midi-Pyrénées,627562,701719,760289,389922,263581,2743073,2005,MIDIPYRENEES
Nord - Pas-de-Calais,1119560,1104070,1067337,444839,279807,4015613,2005,NORDPASDECALAIS
Pays de la Loire,879189,889532,922086,439726,284858,3415391,2005,PAYSDELALOIRE
Picardie,508784,500223,526027,219560,134434,1889028,2005,PICARDIE
Poitou-Charentes,389431,411250,477136,257075,176415,1711307,2005,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1136376,1183150,1300523,700492,448023,4768564,2005,PROVENCEALPESCOTEDAZUR
